Selected,Mass,SemiMajorAxis,StarMass,System,Planet,PlanetSolarMass,q,RE_Median,RE_upper,RE_lower,s_Median,s_upper,s_lower
True,209.0,0.897,0.82,HD 45364,HD 45364 c,0.0006270000000000001,0.0007646341463414635,473786057508.3323,543346708619.6326,396961213540.6122,0.28322705866643394,0.24696759799310625,0.3380406622309016
True,190.7,0.92,0.96,HD 43197,HD 43197 b,0.0005721,0.0005959375,512638201660.8733,587903073910.5792,429513446868.36523,0.26847350715752544,0.23410283431134954,0.32043182095065204
True,165.9,0.921,1.08,mu Arae,mu Arae d,0.0004977,0.00046083333333333333,543734923034.52057,623565375363.8799,455567806337.14343,0.253394379592898,0.22095417566269407,0.3024343941094045
True,64.0,0.93,1.05,HD 117618,HD 117618.02,0.000192,0.00018285714285714286,536129864254.9588,614843751771.8622,449195914817.0359,0.2595000969050481,0.22627822325089628,0.30972176535603635
True,632.0,0.947,0.78,HD 20868,HD 20868 b,0.0018960000000000001,0.0024307692307692307,462085830462.4819,529928669496.8722,387158189046.2922,0.30658570614167907,0.2673358109968051,0.3659199640833762
True,203.0,0.949,0.865,HD 63765,HD 63765 b,0.0006090000000000001,0.0007040462427745666,486612660194.18555,558056496384.9841,407707970831.35425,0.29174766176193845,0.2543973714400977,0.34821027782685793
True,10711.0,0.97,1.1,HD 148284,HD 148284 b,0.032133,0.029211818181818183,548746410753.54614,629312643174.4622,459766676724.02325,0.2644384586109787,0.23058436311718356,0.3156158599007761
True,9.95,0.971,0.86,Kepler-1600,Kepler-1600 b,2.9849999999999997e-05,3.4709302325581395e-05,485204226964.6628,556441278825.4039,406527916342.36694,0.2993775497777289,0.261050461455891,0.3573167961438209
True,391.0,0.99,1.2,HD 148164,HD 148164 b,0.001173,0.0009775,573146933388.4791,657295618722.5691,480210632223.9544,0.2584007661045144,0.2253196316230836,0.30840967846160966
True,232.0,1.0,1.09,HD 159868,HD 159868 c,0.000696,0.000638532110091743,546246414103.67883,626445600276.6418,457672056824.91125,0.27386464906783403,0.23880378828904478,0.3268663233252568
True,1.0,1.0,1.0,Sun,Earth,3e-06,3e-06,523209173636.30145,600026062206.1102,438370326038.1284,0.2859230878223411,0.2493184745226611,0.34125846029563395
True,108.1,1.02,1.085,HD 38283,HD 38283 b,0.00032429999999999997,0.00029889400921658985,544992115286.3056,625007146942.6005,456621143711.7108,0.27998484725410544,0.24414046287240557,0.3341709779638806
True,261.0,1.02,0.92,HD 155358,HD 155358 c,0.0007830000000000001,0.0008510869565217391,501844609642.2746,575524780787.4524,420470045699.70624,0.30405733412559144,0.26513112770635167,0.36290227024187444
True,1812.0,1.03,1.24,HD 28185,HD 28185 b,0.005436,0.004383870967741935,582621078255.5889,668160745184.082,488148535807.4538,0.26446950810551223,0.23061143757511127,0.31565291847753596
True,696.0,1.03,1.08,HD 73526,HD 73526 c,0.002088,0.0019333333333333331,543734923034.52057,623565375363.8799,455567806337.14343,0.28338350812235064,0.24710401838498902,0.33822738972061517
True,369.0,1.03,1.0,HD 100777,HD 100777 b,0.0011070000000000001,0.0011070000000000001,523209173636.30145,600026062206.1102,438370326038.1284,0.2945007804570114,0.2567980287583409,0.351496214104503
True,515.0,1.05,1.09,HD 142415,HD 142415 b,0.001545,0.0014174311926605503,546246414103.67883,626445600276.6418,457672056824.91125,0.28755788152122574,0.25074397770349705,0.34320963949151967
True,432.0,1.051,1.0,HD 108874,HD 108874 b,0.001296,0.001296,523209173636.30145,600026062206.1102,438370326038.1284,0.3005051653012805,0.26203371672331677,0.3586626417707113
True,1011.0,1.07,0.93,WASP-41,WASP-41 c,0.003033,0.003261290322580645,504564654549.6214,578644179140.956,422749032829.43274,0.31724262061352815,0.27662839971174924,0.37863933645677883
True,69.9,1.09,1.048,Kepler-34,Kepler-34 (AB) b,0.00020970000000000003,0.00020009541984732825,535619021009.6036,614257907187.4014,448767905272.6612,0.3044353514947691,0.2654607503141104,0.36335344620794663
True,391.0,1.1,1.09,HD 210277,HD 210277 b,0.001173,0.0010761467889908256,546246414103.67883,626445600276.6418,457672056824.91125,0.30125111397461746,0.2626841671179493,0.3595529556577825
True,2892.0,1.1,1.25,HD 33564,HD 33564 b,0.008676,0.0069408,584965639351.1304,670849531682.1898,490112924170.0006,0.28131112271125475,0.2452969451148567,0.33575393065189824
True,159.5,1.105,0.93,HD 99109,HD 99109 b,0.00047850000000000003,0.0005145161290322581,504564654549.6214,578644179140.956,422749032829.43274,0.3276197156803258,0.28567699222568493,0.3910247353128417
True,496.0,1.13,0.78,HIP 109384,HIP 109384 b,0.001488,0.0019076923076923075,462085830462.4819,529928669496.8722,387158189046.2922,0.365830884836428,0.3189962686656702,0.4366310025493295
True,858.0,1.13,0.8,HD 164604,HD 164604 b,0.002574,0.0032175,467972511480.90436,536679625345.7519,392090339336.0005,0.3612290552996793,0.3149835772497591,0.43113857004164197
True,919.0,1.13,1.02,HD 165155,HD 165155 b,0.002757,0.002702941176470588,528415363293.6168,605996617839.6561,442732327265.3472,0.31990982846298227,0.27895414471305513,0.3818227353593491
True,2946.0,1.15,0.89,TOI-4600,TOI-4600 c,0.008838,0.009930337078651685,493594547220.3796,566063454959.4666,413557738469.7206,0.3485395469770369,0.3039186126065065,0.4159932311147474
True,28.0,1.151,1.02,HD 1461,HD 1461 d,8.400000000000001e-05,8.23529411764706e-05,528415363293.6168,605996617839.6561,442732327265.3472,0.3258550553636218,0.2841382482873686,0.38891855610496534
True,429.0,1.16,1.2,HD 27442,HD 27442 A b,0.001287,0.0010725,573146933388.4791,657295618722.5691,480210632223.9544,0.302772614829532,0.26401088149775453,0.3613689161772396
True,24.0,1.18,0.8,Gliese 785,Gliese 785 c,7.2e-05,8.999999999999999e-05,467972511480.90436,536679625345.7519,392090339336.0005,0.37721264181736425,0.3289209036767396,0.4502154979195907
True,4609.0,1.186,1.22,HAT-P-13,HAT-P-13 c,0.013827,0.01133360655737705,577903421031.7164,662750447678.7748,484195851031.32135,0.30701104439196575,0.2677066963440684,0.36642761905277077
True,184.3,1.19,1.0,HD 44219,HD 44219 b,0.0005529,0.0005529,523209173636.30145,600026062206.1102,438370326038.1284,0.3402484745085859,0.2966889846819667,0.4060975677518044
True,798.0,1.19,1.28,HD 75898,HD 75898 b,0.002394,0.0018703124999999998,591943607451.5817,678851995959.3628,495959408340.0294,0.3007400045167491,0.26223849121496295,0.3589429299758303
True,400.0,1.19,1.09,HD 188015,HD 188015 A b,0.0012000000000000001,0.0011009174311926607,546246414103.67883,626445600276.6418,457672056824.91125,0.3258989323907225,0.2841765080639633,0.3889709247570556
True,8264.0,1.19,0.76,BD+26 1888,BD+26 1888 b,0.024792,0.032621052631578946,456123182842.8126,523090593729.4168,382162390209.4357,0.39029176738863186,0.34032560576062626,0.46582585764415185
True,105.0,1.2,0.96,HD 564,HD 564 b,0.000315,0.000328125,512638201660.8733,587903073910.5792,429513446868.36523,0.3501828354228592,0.3053515230148037,0.4179545490660678
True,982.0,1.25,1.25,HD 221287,HD 221287 b,0.0029460000000000003,0.0023568,584965639351.1304,670849531682.1898,490112924170.0006,0.31967173035369856,0.27874652853960985,0.3815385575589752
True,340.0,1.25,1.04,HD 20367,HD 20367 b,0.00102,0.0009807692307692308,533570757212.4513,611908919970.6388,447051769329.68964,0.35046331831558203,0.30559609776207564,0.4182893144774197
True,159.0,1.26,1.23,HD 31253,HD 31253 b,0.000477,0.0003878048780487805,580267044070.1705,665461094769.3953,486176210425.2462,0.3248382893360906,0.2832516512767486,0.38770501293963766
True,950.0,1.26,0.98,HD 109286,HD 109286 b,0.00285,0.0029081632653061226,517950656520.134,593995496464.4424,433964482297.5257,0.36392067773455355,0.31733061121810646,0.43435110854218134
True,868.0,1.28,1.12,HD 153950,HD 153950 b,0.002604,0.002325,553712542843.7062,635007896301.8959,463927545938.87616,0.34582006147181493,0.3015472826701506,0.4127474371378546
True,104.9,1.282,0.87,HD 215497,HD 215497 c,0.0003147,0.0003617241379310345,488017028655.9147,559667052392.8639,408884619658.3753,0.392986493313848,0.3426753459024542,0.4690421002608705
True,216.0,1.3,1.31,HD 96167,HD 96167 b,0.000648,0.0004946564885496183,598840270509.6808,686761218093.8931,501737771154.92834,0.3247558102404586,0.2831797313682879,0.3876065714692537
True,64.0,1.3,1.11,HD 24040,HD 24040 c,0.000192,0.00017297297297297297,551235069374.828,632166683409.1255,461851797066.28864,0.3528020404698648,0.30763541065659944,0.42108065507012393
True,629.0,1.32,0.99,HD 171028,HD 171028 b,0.001887,0.001906060606060606,520586554747.0561,597018393831.6349,436172967208.2708,0.3793198404826163,0.3307583333181796,0.45273050773400536
True,385.0,1.32,0.92,HD 147513,HD 147513 A b,0.001155,0.0012554347826086957,501844609642.2746,575524780787.4524,420470045699.70624,0.3934859618095889,0.3431108711493963,0.4696382320777198
True,1656.0,1.33,0.82,HD 240210,HD 240210 b,0.004968,0.0060585365853658545,473786057508.3323,543346708619.6326,396961213540.6122,0.41994647494577164,0.3661838409485299,0.5012197110001105
True,2463.0,1.35,0.99,HD 222582,HD 222582 A b,0.007389000000000001,0.007463636363636364,520586554747.0561,597018393831.6349,436172967208.2708,0.3879407459481303,0.33827556816632004,0.46301983745523273
True,92.2,1.36,0.89,HD 7199,HD 7199 b,0.0002766,0.0003107865168539326,493594547220.3796,566063454959.4666,413557738469.7206,0.4121858990337133,0.359416794038999,0.49195721244874485
True,394.0,1.36,1.03,WASP-47,WASP-47 c,0.001182,0.0011475728155339808,530999316909.63306,608959944155.909,444897290431.5088,0.3831506100389107,0.3340986778468335,0.4573026551967549
True,385.0,1.37,0.92,HD 65216,HD 65216 b,0.001155,0.0012554347826086957,501844609642.2746,575524780787.4524,420470045699.70624,0.40839073309025514,0.3561074950565704,0.4874275590503608
True,953.0,1.37,1.1,HD 125612,HD 125612 b,0.002859,0.002599090909090909,548746410753.54614,629312643174.4622,459766676724.02325,0.3734852456670525,0.32567069842323865,0.44576672996295186
True,454.0,1.397,1.02,HD 20782,HD 20782 b,0.001362,0.0013352941176470587,528415363293.6168,605996617839.6561,442732327265.3472,0.3954991419139702,0.3448663187293257,0.47204102769646966
